Control Family,Main Control,Combined,Related Controls,n_TotalControls,n_Controls_by_Fam,Ratio_Controls
AC,AC-1,AC-1-0,PM-9,291,37,0.12714776632302405
AC,AC-11,AC-11-0,AC-7,291,37,0.12714776632302405
AC,AC-12,AC-12-0,SC-10,291,37,0.12714776632302405
AC,AC-12,AC-12-0,SC-23,291,37,0.12714776632302405
AC,AC-14,AC-14-0,CP-2,291,37,0.12714776632302405
AC,AC-14,AC-14-0,IA-2,291,37,0.12714776632302405
AC,AC-17,AC-17-0,AC-2,291,37,0.12714776632302405
AC,AC-17,AC-17-0,AC-3,291,37,0.12714776632302405
AC,AC-17,AC-17-0,AC-18,291,37,0.12714776632302405
AC,AC-17,AC-17-0,AC-19,291,37,0.12714776632302405
AC,AC-17,AC-17-0,AC-20,291,37,0.12714776632302405
AC,AC-17,AC-17-0,CA-3,291,37,0.12714776632302405
AC,AC-17,AC-17-0,CA-7,291,37,0.12714776632302405
AC,AC-17,AC-17-0,CM-8,291,37,0.12714776632302405
AC,AC-17,AC-17-0,IA-2,291,37,0.12714776632302405
AC,AC-17,AC-17-0,IA-3,291,37,0.12714776632302405
AC,AC-17,AC-17-0,IA-8,291,37,0.12714776632302405
AC,AC-17,AC-17-0,MA-4,291,37,0.12714776632302405
AC,AC-17,AC-17-0,PE-17,291,37,0.12714776632302405
AC,AC-17,AC-17-0,PL-4,291,37,0.12714776632302405
AC,AC-17,AC-17-0,SC-10,291,37,0.12714776632302405
AC,AC-17,AC-17-0,SI-4,291,37,0.12714776632302405
AC,AC-17,AC-17-1,AU-2,291,37,0.12714776632302405
AC,AC-17,AC-17-1,AU-12,291,37,0.12714776632302405
AC,AC-17,AC-17-2,SC-8,291,37,0.12714776632302405
AC,AC-17,AC-17-2,SC-12,291,37,0.12714776632302405
AC,AC-17,AC-17-2,SC-13,291,37,0.12714776632302405
AC,AC-17,AC-17-3,SC-7,291,37,0.12714776632302405
AC,AC-17,AC-17-4,AC-6,291,37,0.12714776632302405
AC,AC-18,AC-18-0,AC-2,291,37,0.12714776632302405
AC,AC-18,AC-18-0,AC-3,291,37,0.12714776632302405
AC,AC-18,AC-18-0,AC-17,291,37,0.12714776632302405
AC,AC-18,AC-18-0,AC-19,291,37,0.12714776632302405
AC,AC-18,AC-18-0,CA-3,291,37,0.12714776632302405
AC,AC-18,AC-18-0,CA-7,291,37,0.12714776632302405
AC,AC-18,AC-18-0,CM-8,291,37,0.12714776632302405
AC,AC-18,AC-18-0,IA-2,291,37,0.12714776632302405
AC,AC-18,AC-18-0,IA-3,291,37,0.12714776632302405
AC,AC-18,AC-18-0,IA-8,291,37,0.12714776632302405
AC,AC-18,AC-18-0,PL-4,291,37,0.12714776632302405
AC,AC-18,AC-18-0,SI-4,291,37,0.12714776632302405
AC,AC-18,AC-18-1,SC-8,291,37,0.12714776632302405
AC,AC-18,AC-18-1,SC-13,291,37,0.12714776632302405
AC,AC-18,AC-18-3,AC-19,291,37,0.12714776632302405
AC,AC-18,AC-18-4,AC-3,291,37,0.12714776632302405
AC,AC-18,AC-18-4,SC-15,291,37,0.12714776632302405
AC,AC-18,AC-18-5,PE-19,291,37,0.12714776632302405
AC,AC-19,AC-19-0,AC-3,291,37,0.12714776632302405
AC,AC-19,AC-19-0,AC-7,291,37,0.12714776632302405
AC,AC-19,AC-19-0,AC-18,291,37,0.12714776632302405
AC,AC-19,AC-19-0,AC-20,291,37,0.12714776632302405
AC,AC-19,AC-19-0,CA-9,291,37,0.12714776632302405
AC,AC-19,AC-19-0,CM-2,291,37,0.12714776632302405
AC,AC-19,AC-19-0,IA-2,291,37,0.12714776632302405
AC,AC-19,AC-19-0,IA-3,291,37,0.12714776632302405
AC,AC-19,AC-19-0,MP-2,291,37,0.12714776632302405
AC,AC-19,AC-19-0,MP-4,291,37,0.12714776632302405
AC,AC-19,AC-19-0,MP-5,291,37,0.12714776632302405
AC,AC-19,AC-19-0,PL-4,291,37,0.12714776632302405
AC,AC-19,AC-19-0,SC-7,291,37,0.12714776632302405
AC,AC-19,AC-19-0,SC-43,291,37,0.12714776632302405
AC,AC-19,AC-19-0,SI-3,291,37,0.12714776632302405
AC,AC-19,AC-19-0,SI-4,291,37,0.12714776632302405
AC,AC-19,AC-19-5,MP-5,291,37,0.12714776632302405
AC,AC-19,AC-19-5,SC-13,291,37,0.12714776632302405
AC,AC-19,AC-19-5,SC-28,291,37,0.12714776632302405
AC,AC-2,AC-2-0,AC-3,291,37,0.12714776632302405
AC,AC-2,AC-2-0,AC-4,291,37,0.12714776632302405
AC,AC-2,AC-2-0,AC-5,291,37,0.12714776632302405
AC,AC-2,AC-2-0,AC-6,291,37,0.12714776632302405
AC,AC-2,AC-2-0,AC-10,291,37,0.12714776632302405
AC,AC-2,AC-2-0,AC-17,291,37,0.12714776632302405
AC,AC-2,AC-2-0,AC-19,291,37,0.12714776632302405
AC,AC-2,AC-2-0,AC-20,291,37,0.12714776632302405
AC,AC-2,AC-2-0,AU-9,291,37,0.12714776632302405
AC,AC-2,AC-2-0,IA-2,291,37,0.12714776632302405
AC,AC-2,AC-2-0,IA-4,291,37,0.12714776632302405
AC,AC-2,AC-2-0,IA-5,291,37,0.12714776632302405
AC,AC-2,AC-2-0,IA-8,291,37,0.12714776632302405
AC,AC-2,AC-2-0,CM-5,291,37,0.12714776632302405
AC,AC-2,AC-2-0,CM-6,291,37,0.12714776632302405
AC,AC-2,AC-2-0,CM-11,291,37,0.12714776632302405
AC,AC-2,AC-2-0,MA-3,291,37,0.12714776632302405
AC,AC-2,AC-2-0,MA-4,291,37,0.12714776632302405
AC,AC-2,AC-2-0,MA-5,291,37,0.12714776632302405
AC,AC-2,AC-2-0,PL-4,291,37,0.12714776632302405
AC,AC-2,AC-2-0,SC-13,291,37,0.12714776632302405
AC,AC-2,AC-2-12,CA-7,291,37,0.12714776632302405
AC,AC-2,AC-2-13,PS-4,291,37,0.12714776632302405
AC,AC-2,AC-2-4,AU-2,291,37,0.12714776632302405
AC,AC-2,AC-2-4,AU-12,291,37,0.12714776632302405
AC,AC-2,AC-2-5,SC-23,291,37,0.12714776632302405
AC,AC-20,AC-20-0,AC-3,291,37,0.12714776632302405
AC,AC-20,AC-20-0,AC-17,291,37,0.12714776632302405
AC,AC-20,AC-20-0,AC-19,291,37,0.12714776632302405
AC,AC-20,AC-20-0,CA-3,291,37,0.12714776632302405
AC,AC-20,AC-20-0,PL-4,291,37,0.12714776632302405
AC,AC-20,AC-20-0,SA-9,291,37,0.12714776632302405
AC,AC-20,AC-20-1,CA-2,291,37,0.12714776632302405
AC,AC-21,AC-21-0,AC-3,291,37,0.12714776632302405
