from,to
AC-1,PM-9
AC-11,AC-7
AC-12,SC-10
AC-12,SC-23
AC-14,CP-2
AC-14,IA-2
AC-17,AC-2
AC-17,AC-3
AC-17,AC-18
AC-17,AC-19
AC-17,AC-20
AC-17,CA-3
AC-17,CA-7
AC-17,CM-8
AC-17,IA-2
AC-17,IA-3
AC-17,IA-8
AC-17,MA-4
AC-17,PE-17
AC-17,PL-4
AC-17,SC-10
AC-17,SI-4
AC-17,AU-2
AC-17,AU-12
AC-17,SC-8
AC-17,SC-12
AC-17,SC-13
AC-17,SC-7
AC-17,AC-6
AC-18,AC-2
AC-18,AC-3
AC-18,AC-17
AC-18,AC-19
AC-18,CA-3
AC-18,CA-7
AC-18,CM-8
AC-18,IA-2
AC-18,IA-3
AC-18,IA-8
AC-18,PL-4
AC-18,SI-4
AC-18,SC-8
AC-18,SC-13
AC-18,AC-19
AC-18,AC-3
AC-18,SC-15
AC-18,PE-19
AC-19,AC-3
AC-19,AC-7
AC-19,AC-18
AC-19,AC-20
AC-19,CA-9
AC-19,CM-2
AC-19,IA-2
AC-19,IA-3
AC-19,MP-2
AC-19,MP-4
AC-19,MP-5
AC-19,PL-4
AC-19,SC-7
AC-19,SC-43
AC-19,SI-3
AC-19,SI-4
AC-19,MP-5
AC-19,SC-13
AC-19,SC-28
AC-2,AC-3
AC-2,AC-4
AC-2,AC-5
AC-2,AC-6
AC-2,AC-10
AC-2,AC-17
AC-2,AC-19
AC-2,AC-20
AC-2,AU-9
AC-2,IA-2
AC-2,IA-4
AC-2,IA-5
AC-2,IA-8
AC-2,CM-5
AC-2,CM-6
AC-2,CM-11
AC-2,MA-3
AC-2,MA-4
AC-2,MA-5
AC-2,PL-4
AC-2,SC-13
AC-2,CA-7
AC-2,PS-4
AC-2,AU-2
AC-2,AU-12
AC-2,SC-23
AC-20,AC-3
AC-20,AC-17
AC-20,AC-19
AC-20,CA-3
AC-20,PL-4
AC-20,SA-9
AC-20,CA-2
AC-21,AC-3
AC-22,AC-3
AC-22,AC-4
AC-22,AT-2
AC-22,AT-3
AC-22,AU-13
AC-3,AC-2
AC-3,AC-4
AC-3,AC-5
AC-3,AC-6
AC-3,AC-16
AC-3,AC-17
AC-3,AC-18
AC-3,AC-19
AC-3,AC-20
AC-3,AC-21
AC-3,AC-22
AC-3,AU-9
AC-3,CM-5
AC-3,CM-6
AC-3,CM-11
AC-3,MA-3
AC-3,MA-4
AC-3,MA-5
AC-3,PE-3
AC-4,AC-3
AC-4,AC-17
AC-4,AC-19
AC-4,AC-21
AC-4,CM-6
AC-4,CM-7
AC-4,SA-8
AC-4,SC-2
AC-4,SC-5
AC-4,SC-7
AC-4,SC-18
AC-5,AC-3
AC-5,AC-6
AC-5,PE-3
AC-5,PE-4
AC-5,PS-2
AC-6,AC-2
AC-6,AC-3
AC-6,AC-5
AC-6,CM-6
AC-6,CM-7
AC-6,PL-2
AC-6,AC-17
AC-6,AC-18
AC-6,AC-19
AC-6,PL-4
AC-6,AC-17
AC-6,CM-6
AC-6,CA-7
AC-6,AU-2
AC-7,AC-2
AC-7,AC-9
AC-7,AC-14
AC-7,IA-5
AC-7,AC-19
AC-7,MP-5
AC-7,MP-6
AC-7,SC-13
AT-1,PM-9
AT-2,AT-3
AT-2,AT-4
AT-2,PL-4
AT-2,PL-4
AT-2,PM-12
AT-2,PS-3
AT-2,PS-6
AT-3,AT-2
AT-3,AT-4
AT-3,PL-4
AT-3,PS-7
AT-3,SA-3
AT-3,SA-12
AT-3,SA-16
AT-4,AT-2
AT-4,AT-3
AT-4,PM-14
AU-1,PM-9
AU-10,SC-12
AU-10,SC-8
AU-10,SC-13
AU-10,SC-16
AU-10,SC-17
AU-10,SC-23
AU-11,AU-4
AU-11,AU-5
AU-11,AU-9
AU-11,MP-6
AU-12,AC-3
AU-12,AU-2
AU-12,AU-3
AU-12,AU-6
AU-12,AU-7
AU-12,AU-8
AU-12,AU-12
AU-12,AU-7
AU-2,AC-6
AU-2,AC-17
AU-2,AU-3
AU-2,AU-12
AU-2,MA-4
AU-2,MP-2
AU-2,MP-4
AU-2,SI-4
AU-3,AU-2
AU-3,AU-8
AU-3,AU-12
AU-3,SI-11
AU-3,AU-6
AU-3,AU-7
AU-4,AU-2
AU-4,AU-5
AU-4,AU-6
AU-4,AU-7
AU-4,AU-11
AU-4,SI-4
AU-5,AU-4
AU-5,SI-12
AU-6,AC-2
AU-6,AC-3
AU-6,AC-6
AU-6,AC-17
AU-6,AT-3
AU-6,AU-7
AU-6,AU-16
AU-6,CA-7
AU-6,CM-5
AU-6,CM-10
AU-6,CM-11
AU-6,IA-3
AU-6,IA-5
AU-6,IR-5
AU-6,IR-6
AU-6,MA-4
AU-6,MP-4
AU-6,PE-3
AU-6,PE-6
AU-6,PE-14
AU-6,PE-16
AU-6,RA-5
AU-6,SC-7
AU-6,SC-18
AU-6,SC-19
AU-6,SI-3
AU-6,SI-4
AU-6,SI-7
AU-6,AU-12
AU-6,PM-7
AU-6,AU-12
AU-6,IR-4
AU-6,AU-2
AU-6,AU-12
AU-6,AU-12
AU-6,IR-4
AU-6,RA-5
AU-7,AU-6
AU-7,AU-2
AU-7,AU-12
AU-8,AU-3
AU-8,AU-12
AU-9,AC-3
AU-9,AC-6
AU-9,MP-2
AU-9,MP-4
AU-9,PE-2
AU-9,PE-3
AU-9,PE-6
AU-9,AU-4
AU-9,AU-5
AU-9,AU-11
AU-9,AU-10
AU-9,SC-12
AU-9,SC-13
AU-9,AC-5
CA-1,PM-9
CA-2,CA-5
CA-2,CA-6
CA-2,CA-7
CA-2,PM-9
CA-2,RA-5
CA-2,SA-11
CA-2,SA-12
CA-2,SI-4
CA-2,PE-3
CA-2,SI-2
CA-3,AC-3
CA-3,AC-4
CA-3,AC-20
CA-3,AU-2
CA-3,AU-12
CA-3,AU-16
CA-3,CA-7
CA-3,IA-3
CA-3,SA-9
CA-3,SC-7
CA-3,SI-4
CA-3,CM-7
CA-5,CA-2
CA-5,CA-7
CA-5,CM-4
CA-5,PM-4
CA-6,CA-2
CA-6,CA-7
CA-6,PM-9
CA-6,PM-10
CA-7,CA-2
CA-7,CA-5
CA-7,CA-6
CA-7,CM-3
CA-7,CM-4
CA-7,PM-6
CA-7,PM-9
CA-7,RA-5
CA-7,SA-11
CA-7,SA-12
CA-7,SI-2
CA-7,SI-4
CA-8,SA-12
CA-8,CA-2
CA-9,AC-3
CA-9,AC-4
CA-9,AC-18
CA-9,AC-19
CA-9,AU-2
CA-9,AU-12
CA-9,CA-7
CA-9,CM-2
CA-9,IA-3
CA-9,SC-7
CA-9,SI-4
CM-1,PM-9
CM-10,AC-17
CM-10,CM-8
CM-10,SC-7
CM-11,AC-3
CM-11,CM-2
CM-11,CM-3
CM-11,CM-5
CM-11,CM-6
CM-11,CM-7
CM-11,PL-4
CM-11,CA-7
CM-11,SI-4
CM-2,CM-3
CM-2,CM-6
CM-2,CM-8
CM-2,CM-9
CM-2,SA-10
CM-2,PM-5
CM-2,PM-7
CM-2,CM-5
CM-2,CM-7
CM-2,RA-5
CM-3,CA-7
CM-3,CM-2
CM-3,CM-4
CM-3,CM-5
CM-3,CM-6
CM-3,CM-9
CM-3,SA-10
CM-3,SI-2
CM-3,SI-12
CM-3,SC-13
CM-4,CA-2
CM-4,CA-7
CM-4,CM-3
CM-4,CM-9
CM-4,SA-4
CM-4,SA-5
CM-4,SA-10
CM-4,SI-2
CM-4,SA-11
CM-4,SC-3
CM-4,SC-7
CM-5,AC-3
CM-5,AC-6
CM-5,PE-3
CM-5,AU-2
CM-5,AU-12
CM-5,AU-6
CM-5,CM-3
CM-5,CM-6
