Source,Target,Weight
AC-1,PM-9,1
AC-10,AC-2,1
AC-11,AC-7,1
AC-12,SC-10,1
AC-12,SC-23,1
AC-14,AC-7,1
AC-14,CP-2,2
AC-14,IA-2,2
AC-14,IA-8,1
AC-14,PL-2,1
AC-16,AC-3,1
AC-16,IR-4,1
AC-16,MP-3,1
AC-16,SI-12,1
AC-17,AC-18,2
AC-17,AC-19,1
AC-17,AC-2,2
AC-17,AC-20,2
AC-17,AC-3,2
AC-17,AC-4,1
AC-17,AC-6,3
AC-17,AU-12,1
AC-17,AU-2,2
AC-17,AU-6,1
AC-17,CA-3,1
AC-17,CA-7,1
AC-17,CM-10,1
AC-17,CM-8,2
AC-17,IA-2,2
AC-17,IA-3,2
AC-17,IA-8,2
AC-17,MA-4,2
AC-17,PE-17,2
AC-17,PL-2,1
AC-17,PL-4,2
AC-17,SC-10,1
AC-17,SC-12,1
AC-17,SC-13,2
AC-17,SC-7,2
AC-17,SC-8,2
AC-17,SI-4,2
AC-18,AC-19,3
AC-18,AC-2,1
AC-18,AC-3,3
AC-18,AC-6,1
AC-18,CA-3,1
AC-18,CA-7,1
AC-18,CA-9,1
AC-18,CM-7,1
AC-18,CM-8,2
AC-18,IA-2,2
AC-18,IA-3,2
AC-18,IA-8,2
AC-18,PE-19,1
AC-18,PL-4,2
AC-18,SC-13,2
AC-18,SC-15,1
AC-18,SC-8,1
AC-18,SI-4,2
AC-19,AC-2,1
AC-19,AC-20,2
AC-19,AC-3,2
AC-19,AC-4,1
AC-19,AC-6,1
AC-19,AC-7,2
AC-19,CA-9,2
AC-19,CM-2,1
AC-19,CM-6,1
AC-19,CM-8,1
AC-19,IA-2,1
AC-19,IA-3,2
AC-19,MP-2,1
AC-19,MP-4,1
AC-19,MP-5,3
AC-19,MP-7,1
AC-19,PL-4,2
AC-19,SC-13,1
AC-19,SC-28,2
AC-19,SC-43,1
AC-19,SC-7,1
AC-19,SI-3,1
AC-19,SI-4,1
AC-2,AC-20,1
AC-2,AC-3,2
AC-2,AC-4,1
AC-2,AC-5,1
AC-2,AC-6,2
AC-2,AC-7,1
AC-2,AU-12,1
AC-2,AU-2,1
AC-2,AU-6,1
AC-2,AU-9,1
AC-2,CA-7,1
AC-2,CM-11,1
AC-2,CM-5,2
AC-2,CM-6,1
AC-2,IA-2,2
AC-2,IA-4,2
AC-2,IA-5,2
AC-2,IA-8,2
AC-2,IR-4,1
AC-2,MA-3,1
AC-2,MA-4,2
AC-2,MA-5,2
AC-2,PL-2,1
AC-2,PL-4,2
AC-2,PS-3,1
AC-2,PS-4,2
AC-2,PS-5,1
AC-2,SC-13,2
AC-2,SC-23,1
AC-20,AC-3,2
AC-20,CA-2,1
AC-20,CA-3,2
AC-20,PL-2,1
AC-20,PL-4,2
AC-20,SA-9,1
AC-21,AC-3,2
AC-21,AC-4,1
AC-21,SC-15,1
AC-22,AC-3,2
AC-22,AC-4,1
AC-22,AT-2,1
AC-22,AT-3,1
AC-22,AU-13,1
AC-25,SI-16,1
AC-3,AC-4,2
AC-3,AC-5,2
AC-3,AC-6,2
AC-3,AU-12,1
AC-3,AU-6,1
AC-3,AU-9,2
AC-3,CA-3,1
AC-3,CA-9,1
AC-3,CM-11,2
AC-3,CM-5,2
AC-3,CM-6,1
AC-3,IA-2,1
AC-3,IA-5,1
AC-3,MA-3,1
AC-3,MA-4,2
AC-3,MA-5,1
AC-3,MP-2,1
AC-3,PE-3,1
AC-3,SC-13,1
AC-3,SC-28,1
AC-3,SC-3,1
AC-3,SC-39,1
AC-3,SC-4,1
AC-3,SC-7,1
AC-3,SI-4,1
AC-4,CA-3,1
AC-4,CA-9,1
AC-4,CM-6,1
AC-4,CM-7,1
AC-4,IR-4,1
AC-4,SA-8,1
AC-4,SC-18,1
AC-4,SC-2,1
AC-4,SC-39,1
AC-4,SC-4,1
AC-4,SC-5,1
AC-4,SC-7,2
AC-4,SI-4,1
AC-5,AC-6,2
AC-5,AU-9,1
AC-5,PE-3,1
AC-5,PE-4,1
AC-5,PS-2,1
AC-6,AU-2,2
AC-6,AU-6,1
AC-6,AU-9,1
AC-6,CA-7,1
AC-6,CM-5,1
AC-6,CM-6,2
AC-6,CM-7,2
AC-6,IA-2,3
AC-6,IA-5,1
AC-6,MA-4,1
AC-6,PL-2,2
AC-6,PL-4,2
AC-6,SC-28,1
AC-6,SC-3,1
AC-6,SC-39,1
AC-6,SI-4,1
AC-7,AC-9,1
AC-7,IA-5,1
AC-7,MP-5,1
AC-7,MP-6,1
AC-7,SC-13,2
AC-8,PL-4,1
AC-8,SI-4,1
AC-9,PL-4,1
AT-1,PM-9,1
AT-2,AT-3,2
AT-2,AT-4,2
AT-2,CP-3,1
AT-2,IA-4,1
AT-2,IR-7,1
AT-2,PL-4,3
AT-2,PM-12,1
AT-2,PS-3,1
AT-2,PS-6,1
AT-2,SA-16,1
AT-2,SI-8,1
AT-3,AT-4,2
AT-3,AU-6,1
AT-3,CP-3,1
AT-3,IR-2,1
AT-3,PE-11,1
AT-3,PE-14,1
AT-3,PE-15,1
AT-3,PL-4,2
AT-3,PS-2,1
AT-3,PS-7,1
AT-3,SA-12,2
AT-3,SA-16,2
AT-3,SA-3,2
AT-3,SI-8,1
AT-4,PM-14,1
AU-1,PM-9,1
AU-10,AU-9,1
AU-10,SC-12,1
AU-10,SC-13,2
AU-10,SC-16,1
AU-10,SC-17,1
AU-10,SC-20,1
AU-10,SC-23,1
AU-10,SC-8,1
AU-11,AU-4,2
AU-11,AU-5,1
AU-11,AU-9,2
AU-11,MP-6,1
AU-11,SI-12,1
AU-12,AU-12,1
AU-12,AU-2,2
AU-12,AU-3,2
AU-12,AU-6,5
AU-12,AU-7,3
AU-12,AU-8,2
AU-12,CA-3,1
AU-12,CA-9,1
AU-12,CM-5,1
AU-12,SC-18,1
AU-12,SI-4,1
AU-13,RA-5,1
AU-16,AU-6,1
AU-16,CA-3,1
AU-2,AU-3,2
AU-2,AU-4,1
AU-2,AU-6,1
AU-2,AU-7,1
AU-2,CA-3,1
AU-2,CA-9,1
AU-2,CM-5,1
AU-2,IA-2,1
AU-2,IA-8,2
AU-2,MA-4,2
AU-2,MP-2,1
AU-2,MP-4,1
AU-2,PE-3,1
AU-2,SC-18,1
AU-2,SC-7,1
AU-2,SI-11,1
AU-2,SI-3,1
AU-2,SI-4,2
AU-3,AU-6,1
AU-3,AU-7,1
AU-3,AU-8,2
AU-3,MA-4,1
AU-3,SI-11,2
AU-3,SI-8,1
AU-4,AU-5,2
AU-4,AU-6,1
AU-4,AU-7,1
AU-4,AU-9,1
AU-4,SI-4,1
AU-5,AU-9,1
AU-5,SI-12,2
AU-5,SI-4,1
AU-6,AU-7,2
AU-6,CA-7,1
AU-6,CM-10,1
AU-6,CM-11,1
AU-6,CM-5,3
AU-6,IA-3,1
AU-6,IA-5,1
AU-6,IR-4,3
AU-6,IR-5,2
AU-6,IR-6,1
AU-6,MA-4,1
AU-6,MP-4,1
AU-6,PE-14,1
AU-6,PE-16,1
AU-6,PE-3,2
AU-6,PE-6,1
AU-6,PM-7,1
AU-6,RA-5,3
AU-6,SC-18,1
AU-6,SC-19,1
AU-6,SC-7,1
AU-6,SI-3,1
AU-6,SI-4,3
AU-6,SI-7,1
AU-7,CM-5,1
AU-7,IR-5,1
AU-7,SI-4,1
AU-9,MP-2,1
AU-9,MP-4,1
AU-9,PE-2,1
AU-9,PE-3,1
AU-9,PE-6,1
AU-9,SC-12,1
AU-9,SC-13,2
AU-9,SI-4,1
CA-1,PM-9,1
CA-2,CA-5,2
CA-2,CA-6,2
CA-2,CA-7,2
CA-2,CA-8,1
CA-2,CM-4,1
