Combined,n_RelatedControls
AU-6-0,28
PL-2-0,24
AC-2-0,21
SC-13-0,20
AC-3-0,19
PL-4-0,18
SI-4-0,18
MA-4-0,17
SA-12-0,17
AC-17-0,16
AC-19-0,16
IA-5-0,14
CP-2-0,13
IR-4-0,13
AC-18-0,12
CA-7-0,12
SI-3-0,12
AC-4-0,11
CA-3-0,11
CA-9-0,11
IA-8-0,11
SC-28-0,11
SI-2-0,11
CM-3-0,9
PE-3-0,9
SC-3-0,9
SC-7-0,9
AU-2-0,8
CA-2-0,8
CM-4-0,8
CM-8-3,8
CP-10-0,8
IA-2-0,8
IR-5-0,8
MP-5-0,8
RA-5-0,8
SA-4-0,8
SC-39-0,8
AT-3-0,7
AU-9-0,7
CM-11-0,7
CM-2-0,7
CM-7-5,7
MA-2-0,7
MA-5-0,7
PE-4-0,7
PS-7-0,7
SA-5-0,7
AC-20-0,6
AC-6-0,6
AU-10-0,6
AU-4-0,6
CM-5-2,6
CM-9-0,6
CP-7-0,6
IA-3-0,6
IA-4-0,6
IR-4-2,6
MP-2-0,6
PL-8-0,6
SA-11-0,6
SA-8-0,6
SC-20-0,6
AC-22-0,5
AC-5-0,5
AU-12-0,5
CM-5-1,5
CM-6-0,5
CM-7-0,5
CP-6-0,5
CP-9-0,5
IR-7-0,5
MA-6-0,5
MP-4-0,5
PE-16-0,5
PS-4-0,5
PS-6-0,5
SA-10-0,5
SC-18-0,5
SC-24-0,5
SI-12-0,5
SI-8-0,5
AC-7-0,4
AC-7-2,4
AT-2-2,4
AU-11-0,4
AU-3-0,4
CA-5-0,4
CA-6-0,4
CP-3-0,4
MA-4-3,4
MP-6-0,4
PE-5-0,4
PS-3-0,4
PS-5-0,4
RA-2-0,4
SA-17-0,4
SC-22-0,4
SI-4-22,4
SI-7-0,4
AC-17-2,3
AC-19-5,3
AC-6-1,3
AT-2-0,3
AT-4-0,3
AU-6-5,3
AU-9-2,3
AU-9-3,3
CM-10-0,3
CM-4-1,3
CM-5-0,3
CM-5-3,3
CM-7-1,3
CM-8-0,3
CP-4-0,3
CP-8-0,3
IA-2-12,3
IA-5-4,3
IA-8-1,3
IR-2-0,3
IR-6-0,3
IR-8-0,3
MA-3-0,3
MP-3-0,3
PE-11-0,3
PE-18-0,3
PE-2-0,3
PE-6-0,3
PS-2-0,3
RA-5-6,3
SA-16-0,3
SA-3-0,3
SA-9-0,3
SC-19-0,3
SC-2-0,3
SC-23-0,3
SC-4-0,3
SC-7-13,3
SI-11-0,3
SI-7-7,3
SI-8-1,3
AC-12-0,2
AC-14-0,2
AC-17-1,2
AC-18-1,2
AC-18-4,2
AC-2-4,2
AU-12-1,2
AU-3-2,2
AU-5-0,2
AU-6-1,2
AU-6-3,2
AU-6-4,2
AU-7-1,2
AU-8-0,2
CA-2-2,2
CM-11-1,2
CM-2-2,2
CM-6-1,2
CM-6-2,2
CM-7-2,2
CP-2-8,2
CP-4-1,2
CP-7-4,2
CP-9-3,2
IA-7-0,2
IR-3-0,2
IR-5-1,2
MA-2-2,2
MA-4-6,2
MA-5-1,2
MP-7-0,2
PE-12-0,2
PE-17-0,2
PE-6-4,2
PL-2-3,2
PS-8-0,2
RA-3-0,2
RA-5-1,2
RA-5-2,2
SA-11-2,2
SA-15-0,2
SA-2-0,2
SA-4-10,2
SA-4-9,2
SA-9-1,2
SC-12-0,2
SC-21-0,2
SC-28-1,2
SC-5-0,2
SC-7-18,2
SC-7-21,2
SC-7-8,2
SC-8-0,2
SI-16-0,2
SI-2-2,2
SI-3-1,2
SI-4-14,2
SI-4-5,2
SI-6-0,2
AC-1-0,1
AC-11-0,1
AC-17-3,1
AC-17-4,1
AC-18-3,1
AC-18-5,1
AC-2-12,1
AC-2-13,1
AC-2-5,1
AC-20-1,1
AC-21-0,1
AC-6-2,1
AC-6-3,1
AC-6-5,1
AC-6-7,1
AC-6-9,1
AT-1-0,1
AU-1-0,1
AU-12-3,1
AU-7-0,1
AU-9-4,1
CA-1-0,1
CA-3-5,1
CA-8-0,1
CA-8-1,1
CM-1-0,1
CM-2-1,1
CM-3-6,1
CM-5-5,1
CM-8-2,1
CP-1-0,1
CP-10-4,1
CP-2-3,1
CP-2-4,1
CP-2-5,1
CP-4-2,1
CP-6-1,1
CP-6-3,1
CP-7-1,1
CP-7-2,1
CP-9-1,1
CP-9-2,1
IA-1-0,1
IA-2-1,1
IA-2-11,1
IA-2-3,1
IA-4-4,1
IA-5-1,1
IA-5-2,1
IA-6-0,1
IA-8-2,1
IA-8-3,1
IA-8-4,1
IR-1-0,1
IR-6-1,1
MA-1-0,1
MA-3-1,1
MA-3-2,1
MP-1-0,1
MP-5-4,1
MP-6-1,1
MP-6-3,1
MP-7-1,1
PE-1-0,1
PE-10-0,1
PE-14-0,1
PE-15-0,1
PE-3-1,1
PE-9-0,1
PL-1-0,1
PS-1-0,1
RA-1-0,1
RA-5-4,1
RA-5-8,1
SA-1-0,1
SA-10-1,1
SA-4-1,1
SA-4-2,1
SA-4-8,1
SA-9-2,1
SC-1-0,1
SC-15-0,1
SC-17-0,1
SC-7-10,1
SC-7-4,1
SC-8-1,1
SI-1-0,1
SI-3-2,1
SI-4-16,1
SI-5-0,1
SI-7-14,1
