Main Control,Related Controls,n_RelatedControls
AU-6,AU-12,4
CP-2,PE-12,3
IA-2,AC-6,3
IA-8,SA-4,3
SA-4,SA-5,3
AC-18,AC-19,2
AC-18,AC-3,2
AC-19,MP-5,2
AC-6,AC-17,2
AC-6,CM-6,2
AT-2,PL-4,2
AU-12,AU-7,2
AU-6,IR-4,2
AU-6,RA-5,2
CM-5,AU-6,2
CM-5,CM-3,2
CM-7,CM-2,2
CM-7,CM-8,2
CM-7,PM-5,2
CM-8,SI-7,2
CP-6,RA-3,2
CP-7,RA-3,2
CP-9,CP-4,2
IA-5,IA-6,2
IA-8,AU-2,2
MP-7,PL-4,2
RA-5,SI-3,2
SC-7,SC-3,2
SI-3,SI-8,2
SI-4,AU-6,2
AC-1,PM-9,1
AC-11,AC-7,1
AC-12,SC-10,1
AC-12,SC-23,1
AC-14,CP-2,1
AC-14,IA-2,1
AC-17,AC-18,1
AC-17,AC-19,1
AC-17,AC-2,1
AC-17,AC-20,1
AC-17,AC-3,1
AC-17,AC-6,1
AC-17,AU-12,1
AC-17,AU-2,1
AC-17,CA-3,1
AC-17,CA-7,1
AC-17,CM-8,1
AC-17,IA-2,1
AC-17,IA-3,1
AC-17,IA-8,1
AC-17,MA-4,1
AC-17,PE-17,1
AC-17,PL-4,1
AC-17,SC-10,1
AC-17,SC-12,1
AC-17,SC-13,1
AC-17,SC-7,1
AC-17,SC-8,1
AC-17,SI-4,1
AC-18,AC-17,1
AC-18,AC-2,1
AC-18,CA-3,1
AC-18,CA-7,1
AC-18,CM-8,1
AC-18,IA-2,1
AC-18,IA-3,1
AC-18,IA-8,1
AC-18,PE-19,1
AC-18,PL-4,1
AC-18,SC-13,1
AC-18,SC-15,1
AC-18,SC-8,1
AC-18,SI-4,1
AC-19,AC-18,1
AC-19,AC-20,1
AC-19,AC-3,1
AC-19,AC-7,1
AC-19,CA-9,1
AC-19,CM-2,1
AC-19,IA-2,1
AC-19,IA-3,1
AC-19,MP-2,1
AC-19,MP-4,1
AC-19,PL-4,1
AC-19,SC-13,1
AC-19,SC-28,1
AC-19,SC-43,1
AC-19,SC-7,1
AC-19,SI-3,1
AC-19,SI-4,1
AC-2,AC-10,1
AC-2,AC-17,1
AC-2,AC-19,1
AC-2,AC-20,1
AC-2,AC-3,1
AC-2,AC-4,1
AC-2,AC-5,1
AC-2,AC-6,1
AC-2,AU-12,1
AC-2,AU-2,1
AC-2,AU-9,1
AC-2,CA-7,1
AC-2,CM-11,1
AC-2,CM-5,1
AC-2,CM-6,1
AC-2,IA-2,1
AC-2,IA-4,1
AC-2,IA-5,1
AC-2,IA-8,1
AC-2,MA-3,1
AC-2,MA-4,1
AC-2,MA-5,1
AC-2,PL-4,1
AC-2,PS-4,1
AC-2,SC-13,1
AC-2,SC-23,1
AC-20,AC-17,1
AC-20,AC-19,1
AC-20,AC-3,1
AC-20,CA-2,1
AC-20,CA-3,1
AC-20,PL-4,1
AC-20,SA-9,1
