Control Family,Related Controls,n_RelatedControls
AC,AC-3,11
AC,AC-19,9
AU,AU-12,9
AC,AC-17,7
CM,CM-2,7
CM,CM-3,7
CP,CP-2,7
SA,SA-3,7
AC,PL-4,6
CM,CM-6,6
IR,IR-8,6
SC,AC-3,6
AC,AC-2,5
AC,CM-6,5
AC,IA-2,5
AC,SC-13,5
AU,AU-2,5
AU,AU-7,5
CA,CA-7,5
CM,CA-7,5
CM,CM-5,5
CM,CM-7,5
CM,CM-8,5
CM,SA-10,5
CM,SI-7,5
CP,CP-6,5
CP,CP-7,5
SA,SA-5,5
SA,SA-8,5
SC,SC-13,5
SC,SC-8,5
AC,AC-18,4
AC,AC-20,4
AC,AC-6,4
AC,CA-7,4
AU,AU-6,4
CA,CA-2,4
CA,PM-9,4
CA,SI-4,4
CM,PM-5,4
CP,CP-9,4
CP,RA-3,4
IA,AC-2,4
IA,AC-6,4
IA,IA-4,4
IA,IA-5,4
IA,SA-4,4
MA,MP-6,4
PE,PE-4,4
SA,SA-4,4
SC,SA-4,4
SC,SA-8,4
SC,SC-12,4
SC,SC-2,4
SC,SC-3,4
SC,SC-7,4
AC,AC-4,3
AC,AC-5,3
AC,AU-2,3
AC,CA-3,3
AC,IA-3,3
AC,IA-8,3
AC,MA-4,3
AC,MP-5,3
AC,SC-7,3
AC,SI-4,3
AT,PL-4,3
AU,AC-3,3
AU,AC-6,3
AU,AU-3,3
AU,AU-4,3
AU,AU-5,3
AU,MP-4,3
AU,SI-4,3
CA,SA-12,3
CM,CM-4,3
CM,CM-9,3
CM,RA-5,3
CM,SC-7,3
CM,SI-4,3
CP,CM-2,3
CP,CP-10,3
CP,MP-4,3
CP,PE-12,3
IA,AC-17,3
IA,AC-18,3
IA,AU-2,3
IA,IA-2,3
IA,IA-8,3
IR,IR-4,3
MP,RA-3,3
PE,AT-3,3
PE,CP-2,3
PE,CP-7,3
PE,PE-2,3
PE,PE-3,3
PE,PS-3,3
PL,SA-5,3
PS,AC-2,3
PS,IA-4,3
PS,PE-2,3
PS,PS-2,3
PS,PS-3,3
PS,PS-4,3
PS,PS-6,3
SA,AT-3,3
SA,PM-7,3
SC,AC-17,3
SC,AC-4,3
SC,AC-6,3
SC,CM-6,3
SC,SC-22,3
SC,SI-3,3
SI,AU-2,3
SI,CA-7,3
SI,IR-4,3
SI,SC-7,3
SI,SI-2,3
SI,SI-3,3
SI,SI-4,3
SI,SI-7,3
AC,AC-21,2
AC,AC-7,2
AC,AU-12,2
AC,AU-9,2
AC,CM-11,2
AC,CM-5,2
AC,CM-7,2
AC,CM-8,2
AC,IA-5,2
AC,MA-3,2
AC,MA-5,2
AC,PE-3,2
AC,SC-10,2
AC,SC-23,2
AC,SC-8,2
AT,AT-2,2
AT,AT-3,2
AT,AT-4,2
AU,AC-17,2
AU,AU-11,2
AU,AU-8,2
AU,IR-4,2
AU,MA-4,2
AU,MP-2,2
AU,PE-3,2
AU,PE-6,2
AU,RA-5,2
AU,SC-12,2
AU,SC-13,2
CA,AC-3,2
CA,AC-4,2
CA,AU-12,2
CA,AU-2,2
CA,CA-5,2
CA,CA-6,2
CA,CM-4,2
CA,IA-3,2
CA,RA-5,2
CA,SA-11,2
CA,SC-7,2
CA,SI-2,2
CM,AC-17,2
CM,AC-18,2
CM,AC-19,2
CM,AC-3,2
CM,AC-6,2
CM,AU-6,2
CM,SA-5,2
CM,SC-13,2
CM,SI-2,2
CP,CP-4,2
CP,CP-8,2
CP,IR-8,2
CP,MP-5,2
CP,PM-8,2
IA,AC-14,2
IA,AC-3,2
IA,IA-6,2
IA,PE-3,2
IA,SC-12,2
IA,SC-13,2
IR,AU-6,2
IR,CP-4,2
IR,PE-6,2
IR,SC-5,2
IR,SC-7,2
IR,SI-3,2
IR,SI-4,2
IR,SI-7,2
MA,AC-2,2
MA,IA-8,2
MA,MA-2,2
MA,MA-3,2
MA,MA-5,2
MA,PL-2,2
MA,SA-12,2
